,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
0,27307,9.5,%,neutral,-0.41,9.96,-2.98,neutral,neutral,neutral
1,447087,40.3,%,basic,2.79,,9.68,basic,basic,basic
2,394165,27.8,%,acidic,0.94,5.56,-6.9,acidic,acidic,acidic
3,330452,24.7,%,basic,-1.27,,9.73,basic,basic,basic
4,297372,8.3,%,basic,-0.49,10.16,7.48,basic,basic,neutral
5,1216,24.7,%,neutral,1.1,17.33,7.16,basic,neutral,neutral
6,27419,45.7,%,neutral,3.63,18.08,4.32,neutral,neutral,neutral
7,193460,-9.5,%,basic,-0.82,,9.62,basic,basic,basic
8,7501,36.7,%,basic,-0.96,8.0,9.83,basic,basic,basic
9,46726,9.1,%,acidic,1.36,4.33,,acidic,acidic,acidic
10,60319,19.4,%,neutral,3.94,,7.31,basic,neutral,neutral
11,28310,-40.3,%,neutral,-1.03,,-0.3,neutral,neutral,neutral
12,5970,26.1,%,basic,3.93,,8.93,basic,basic,basic
13,381693,0.8,%,neutral,-0.89,7.82,-0.78,acidic,neutral,neutral
14,5467,25.9,%,neutral,-2.54,,,neutral,neutral,neutral
15,364520,33.2,%,neutral,3.37,19.09,-0.88,neutral,neutral,neutral
16,19569,42.7,%,basic,4.85,13.2,9.02,basic,basic,basic
17,6012,18.4,%,acidic,-3.55,1.35,5.12,acidic,acidic,acidic
18,6968,25.6,%,basic,4.97,,8.76,basic,basic,basic
19,153330,16.9,%,acidic,1.32,6.9,2.43,acidic,acidic,neutral
20,5528,46.4,%,basic,-2.12,10.07,9.43,basic,basic,basic
21,410802,22.2,%,neutral,1.33,8.98,5.99,neutral,neutral,neutral
22,11164,-0.2,%,neutral,-0.94,,-4.47,neutral,neutral,neutral
23,341382,4.3,%,neutral,2.63,13.6,7.17,basic,neutral,neutral
24,27150,43.3,%,basic,0.86,13.89,9.05,basic,basic,basic
25,1370,8.9,%,basic,0.36,14.09,9.67,basic,basic,basic
26,27341,21.6,%,basic,-0.7,15.75,9.04,basic,basic,basic
27,77474,35.2,%,acidic,-0.92,3.53,,acidic,acidic,acidic
28,27370,2.3,%,neutral,1.27,12.58,-2.85,neutral,neutral,neutral
29,97,25.1,%,neutral,1.43,,7.24,basic,neutral,neutral
30,19737,21.9,%,acidic,2.74,5.96,5.36,acidic,acidic,acidic
31,8543,-24.7,%,basic,-0.53,14.09,9.67,basic,basic,basic
32,270645,11.2,%,basic,0.24,14.44,10.46,basic,basic,basic
33,921,25.4,%,neutral,2.14,9.47,-9.05,neutral,neutral,neutral
34,251346,-16.4,%,neutral,3.08,,-3.14,neutral,neutral,neutral
35,12417,25.1,%,acidic,2.26,7.03,-1.0,acidic,acidic,neutral
36,2217,-3.9,%,neutral,1.33,8.14,,neutral,neutral,neutral
37,282509,34.5,%,basic,-3.73,,11.97,basic,basic,basic
38,16498,34.2,%,neutral,1.41,14.98,-4.24,neutral,neutral,neutral
39,465305,26.1,%,neutral,-5.2,10.01,-3.14,neutral,neutral,neutral
40,1615,8.8,%,acidic,-2.29,3.53,-2.76,acidic,acidic,acidic
41,6643,33.0,%,basic,0.83,,9.77,basic,basic,basic
42,419598,15.2,%,neutral,2.17,9.15,3.55,neutral,neutral,neutral
43,4011,30.1,%,acidic,-3.6,2.7,4.24,acidic,acidic,acidic
44,3183,4.8,%,neutral,2.11,15.39,7.34,basic,neutral,neutral
45,419601,15.9,%,neutral,2.43,9.29,4.77,neutral,neutral,neutral
46,146,-8.2,%,acidic,-0.28,5.45,6.2,zwitterionic,acidic,acidic
47,485080,25.6,%,neutral,3.7,18.91,-4.83,neutral,neutral,neutral
48,1362567,-6.1,%,neutral,-1.65,12.63,4.49,neutral,neutral,neutral
49,113974,27.9,%,neutral,-3.19,,,neutral,neutral,neutral
50,16592,23.3,%,acidic,-0.23,5.62,-2.77,acidic,acidic,acidic
51,115,6.9,%,basic,-0.31,,8.86,basic,basic,basic
52,466122,34.0,%,neutral,-0.18,8.58,-3.61,neutral,neutral,neutral
53,5170,34.8,%,neutral,2.7,7.86,-4.95,acidic,neutral,neutral
54,139099,1.7,%,neutral,1.43,14.73,6.02,neutral,neutral,neutral
55,27611,32.9,%,neutral,3.92,,6.57,basic,neutral,neutral
56,789,28.1,%,basic,-0.47,14.09,9.67,basic,basic,basic
57,1063,38.1,%,neutral,1.78,,-2.93,neutral,neutral,neutral
58,49931,27.4,%,acidic,-6.56,3.26,1.8,acidic,acidic,acidic
59,369464,-3.3,%,basic,-5.62,,12.33,basic,basic,basic
60,66016,-5.7,%,neutral,1.67,11.18,-8.14,neutral,neutral,neutral
61,110803,43.2,%,neutral,4.55,,4.33,neutral,neutral,neutral
62,62259,32.5,%,basic,2.77,13.96,9.41,basic,basic,basic
63,230659,4.6,%,zwitterionic,-3.18,3.17,10.21,zwitterionic,zwitterionic,zwitterionic
64,5975,31.4,%,neutral,3.03,9.35,4.16,neutral,neutral,neutral
65,38727,24.9,%,neutral,1.91,14.98,5.87,neutral,neutral,neutral
66,486789,47.5,%,neutral,2.0,19.45,-3.35,neutral,neutral,neutral
67,4941,29.9,%,neutral,-0.69,13.61,3.35,neutral,neutral,neutral
68,5985,40.5,%,basic,0.72,11.71,9.47,basic,basic,basic
69,605,26.9,%,basic,2.48,,9.2,basic,basic,basic
70,11674,47.3,%,acidic,1.34,4.85,,acidic,acidic,acidic
71,712451,32.8,%,basic,-10.57,11.41,9.83,basic,basic,basic
72,125940,-8.4,%,zwitterionic,-3.74,3.61,8.13,zwitterionic,zwitterionic,acidic
73,139286,1.1,%,acidic,0.49,4.32,0.06,acidic,acidic,acidic
74,2046,23.4,%,acidic,-1.25,4.25,-1.52,acidic,acidic,acidic
75,430012,-14.7,%,neutral,0.09,8.27,-0.26,neutral,neutral,neutral
76,54722,43.8,%,basic,1.05,,9.16,basic,basic,basic
77,65402,30.2,%,basic,3.43,15.59,8.43,basic,basic,basic
78,2223,21.8,%,basic,1.83,,9.8,basic,basic,basic
79,13758,7.4,%,neutral,0.56,12.71,2.56,neutral,neutral,neutral
80,81683,28.9,%,zwitterionic,2.93,4.04,9.01,zwitterionic,zwitterionic,zwitterionic
81,19915,-53.3,%,basic,2.43,,8.77,basic,basic,basic
82,28331,5.4,%,neutral,5.28,,-4.93,neutral,neutral,neutral
83,418483,15.0,%,basic,3.26,,10.07,basic,basic,basic
84,405365,36.6,%,neutral,3.44,19.46,-6.64,neutral,neutral,neutral
85,68607,42.2,%,neutral,1.16,9.33,-3.69,neutral,neutral,neutral
86,16847,-7.5,%,acidic,-1.06,3.67,5.2,acidic,acidic,acidic
87,74911,6.4,%,neutral,-0.9,14.29,-3.11,neutral,neutral,neutral
88,421034,31.7,%,basic,2.76,17.11,8.37,basic,basic,basic
89,374719,40.9,%,neutral,4.46,12.52,-1.49,neutral,neutral,neutral
90,78759,-5.8,%,basic,0.1,8.0,9.93,basic,basic,basic
91,33373,28.8,%,neutral,1.91,12.67,7.24,basic,neutral,neutral
92,5638,1.0,%,basic,-1.05,10.15,8.99,basic,basic,basic
93,94571,8.5,%,neutral,4.16,,,neutral,neutral,neutral
94,11143,47.5,%,basic,0.57,16.19,10.42,basic,basic,basic
95,1278,3.2,%,basic,1.89,12.86,8.18,basic,basic,neutral
96,581814,36.0,%,acidic,1.92,7.15,-2.98,acidic,acidic,neutral
97,77456,36.3,%,basic,1.08,,9.85,basic,basic,basic
98,365281,10.7,%,neutral,1.68,12.42,-3.33,neutral,neutral,neutral
99,6243,25.9,%,basic,1.37,,10.02,basic,basic,basic
100,3281,35.0,%,acidic,1.77,6.48,-5.34,acidic,acidic,neutral
101,1256,7.6,%,neutral,1.78,,-6.94,neutral,neutral,neutral
102,14440,45.2,%,neutral,1.46,15.06,-1.16,neutral,neutral,neutral
103,13494,32.3,%,neutral,5.79,,6.62,basic,neutral,neutral
104,1620,40.3,%,neutral,-0.22,14.16,6.53,basic,neutral,neutral
105,343964,41.6,%,acidic,-0.35,4.48,-0.16,acidic,acidic,acidic
106,315123,20.1,%,neutral,1.93,9.39,-2.17,neutral,neutral,neutral
107,80209,24.0,%,basic,2.73,,9.76,basic,basic,basic
108,6216,27.1,%,basic,2.74,,9.2,basic,basic,basic
109,6579,-1.4,%,basic,0.88,,10.32,basic,basic,basic
110,11199,-0.7,%,neutral,-0.88,,-4.39,neutral,neutral,neutral
111,111185,35.7,%,zwitterionic,0.74,3.6,7.79,zwitterionic,zwitterionic,acidic
112,18694,-3.3,%,neutral,4.01,10.7,-0.42,neutral,neutral,neutral
113,180228,30.2,%,acidic,-3.39,3.32,-1.73,acidic,acidic,acidic
114,485902,9.4,%,zwitterionic,-2.7,3.45,7.43,zwitterionic,zwitterionic,acidic
115,283927,36.6,%,acidic,-4.12,4.2,-3.57,acidic,acidic,acidic
116,15086,13.3,%,neutral,2.77,15.96,-3.75,neutral,neutral,neutral
117,444750,18.6,%,acidic,-2.42,4.02,-1.26,acidic,acidic,acidic
118,16485,-1.8,%,neutral,-0.55,,-0.92,neutral,neutral,neutral
119,3599,33.3,%,basic,1.35,,7.62,basic,basic,neutral
120,77128,8.5,%,basic,2.39,18.29,8.22,basic,basic,neutral
121,64396,-13.9,%,basic,1.16,13.06,9.24,basic,basic,basic
122,40702,10.9,%,zwitterionic,-1.14,3.73,8.35,zwitterionic,zwitterionic,zwitterionic
123,66831,32.0,%,neutral,-1.28,,-4.38,neutral,neutral,neutral
124,27342,-7.5,%,basic,1.46,,9.8,basic,basic,basic
125,1279,20.6,%,basic,-1.8,14.08,9.67,basic,basic,basic
126,29097,24.2,%,basic,2.24,9.12,10.23,basic,basic,basic
127,27072,10.5,%,basic,2.48,,9.76,basic,basic,basic
128,27647,26.4,%,basic,-1.38,,10.71,basic,basic,basic
129,395607,-35.6,%,neutral,-1.89,8.35,-0.26,neutral,neutral,neutral
130,365538,2.3,%,neutral,-1.55,10.16,1.85,neutral,neutral,neutral
131,448986,14.9,%,neutral,-7.77,11.23,7.03,basic,neutral,neutral
132,112861,14.2,%,neutral,-1.54,,,neutral,neutral,neutral
133,142808,3.9,%,basic,1.14,10.85,8.66,basic,basic,basic
134,139045,62.2,%,acidic,2.05,4.0,-0.56,acidic,acidic,acidic
135,15217,25.2,%,acidic,0.56,5.14,,acidic,acidic,acidic
136,373985,22.1,%,acidic,-3.7,2.84,6.24,zwitterionic,acidic,acidic
137,328201,88.3,%,neutral,3.64,18.01,-4.88,neutral,neutral,neutral
